Name,Time,Amperage_A,Amperage_B,Amperage_C,Env_temp,Humidity,Upper_oil_temp,H2_concentration,CO_concentration,Built
Ледовый Дворец\Т-2,2016-04-12 13:00:00,13.107890499194847,14.054303095365897,14.533011272141707,22.0,2.0770465673259917,41.0,11.926902534877401,27.082689913906094,2013
Ледовый Дворец\Т-2,2016-04-12 14:00:00,13.116747181964573,14.060833780640545,14.539452495974235,22.0,2.07736759468985,41.0,11.928102962457128,27.06880995698298,2013
Ледовый Дворец\Т-2,2016-04-12 15:00:00,13.1256038647343,14.06736446591519,14.545893719806763,22.0,2.0776886220537083,41.0,11.929303390036853,27.054930000059866,2013
Ледовый Дворец\Т-2,2016-04-12 16:00:00,13.134460547504025,14.073895151189838,14.552334943639291,22.0,2.0780096494175666,41.0,11.93050381761658,27.041050043136753,2013
Ледовый Дворец\Т-2,2016-04-12 17:00:00,13.143317230273752,14.080425836464485,14.55877616747182,22.0,2.078330676781425,41.0,11.931704245196308,27.02717008621364,2013
Ледовый Дворец\Т-2,2016-04-12 18:00:00,13.152173913043478,14.08695652173913,14.565217391304348,22.0,2.078651704145283,41.0,11.932904672776033,27.013290129290525,2013
Ледовый Дворец\Т-2,2016-04-12 19:00:00,13.161030595813205,14.093487207013778,14.571658615136876,22.0,2.0789727315091415,41.0,11.93410510035576,26.999410172367412,2013
Ледовый Дворец\Т-2,2016-04-12 20:00:00,13.16988727858293,14.100017892288424,14.578099838969404,22.0,2.079293758873,41.0,11.935305527935485,26.9855302154443,2013
Ледовый Дворец\Т-2,2016-04-12 21:00:00,13.178743961352657,14.106548577563071,14.584541062801932,22.0,2.079614786236858,41.0,11.936505955515212,26.971650258521183,2013
Ледовый Дворец\Т-2,2016-04-12 22:00:00,13.187600644122384,14.113079262837717,14.59098228663446,22.0,2.0799358136007164,41.0,11.93770638309494,26.95777030159807,2013
Ледовый Дворец\Т-2,2016-04-12 23:00:00,13.196457326892109,14.119609948112364,14.597423510466989,22.0,2.0802568409645747,41.0,11.938906810674665,26.943890344674955,2013
Ледовый Дворец\Т-2,2016-04-13 00:00:00,13.205314009661835,14.12614063338701,14.603864734299517,22.0,2.080577868328433,41.0,11.940107238254392,26.930010387751842,2013
Ледовый Дворец\Т-2,2016-04-13 01:00:00,13.214170692431562,14.132671318661657,14.610305958132045,22.0,2.0808988956922914,41.0,11.941307665834119,26.91613043082873,2013
Ледовый Дворец\Т-2,2016-04-13 02:00:00,13.223027375201289,14.139202003936305,14.616747181964573,22.0,2.0812199230561497,41.0,11.942508093413844,26.902250473905614,2013
Ледовый Дворец\Т-2,2016-04-13 03:00:00,13.231884057971014,14.14573268921095,14.623188405797102,22.0,2.081540950420008,41.0,11.943708520993571,26.8883705169825,2013
Ледовый Дворец\Т-2,2016-04-13 04:00:00,13.24074074074074,14.152263374485598,14.62962962962963,22.0,2.0818619777838663,41.0,11.944908948573296,26.87449056005939,2013
Ледовый Дворец\Т-2,2016-04-13 05:00:00,13.249597423510467,14.158794059760243,14.636070853462158,22.0,2.082183005147724,41.0,11.946109376153023,26.860610603136273,2013
Ледовый Дворец\Т-2,2016-04-13 06:00:00,13.258454106280194,14.16532474503489,14.642512077294686,22.0,2.0825040325115824,41.0,11.94730980373275,26.84673064621316,2013
Ледовый Дворец\Т-2,2016-04-13 07:00:00,13.267310789049919,14.171855430309538,14.648953301127214,22.0,2.0828250598754408,41.0,11.948510231312476,26.832850689290048,2013
Ледовый Дворец\Т-2,2016-04-13 08:00:00,13.276167471819646,14.178386115584184,14.655394524959743,22.0,2.083146087239299,41.0,11.949710658892203,26.81897073236693,2013
Ледовый Дворец\Т-2,2016-04-13 09:00:00,13.285024154589372,14.184916800858831,14.66183574879227,22.0,2.0834671146031574,41.0,11.950911086471928,26.80509077544382,2013
